Alexis Sanchez,Arsenal,28,LW,65.0,Chile
Mesut Ozil,Arsenal,28,AM,50.0,Germany
Petr Cech,Arsenal,35,GK,7.0,Czech Republic
Theo Walcott,Arsenal,28,RW,20.0,England
Laurent Koscielny,Arsenal,31,CB,22.0,France
Hector Bellerin,Arsenal,22,RB,30.0,Spain
Olivier Giroud,Arsenal,30,CF,22.0,France
Nacho Monreal,Arsenal,31,LB,13.0,Spain
Shkodran Mustafi,Arsenal,25,CB,30.0,Germany
Alex Iwobi,Arsenal,21,LW,10.0,Nigeria
Granit Xhaka,Arsenal,24,DM,35.0,Switzerland
Alex Oxlade-Chamberlain,Arsenal,23,RM,22.0,England
Jack Wilshere,Arsenal,25,CM,18.0,England
Aaron Ramsey,Arsenal,26,CM,35.0,Wales
Francis Coquelin,Arsenal,26,DM,15.0,France
Gabriel Paulista,Arsenal,26,CB,13.0,Brazil
Kieran Gibbs,Arsenal,27,LB,10.0,England
Santi Cazorla,Arsenal,32,CM,12.0,Spain
Danny Welbeck,Arsenal,26,CF,15.0,England
Rob Holding,Arsenal,21,CB,7.0,England
Mohamed Elneny,Arsenal,25,DM,10.0,Egypt
Lucas Perez,Arsenal,28,CF,15.0,Spain
Emiliano Martinez,Arsenal,24,GK,1.0,Argentina
David Ospina,Arsenal,28,GK,7.0,Colombia
Carl Jenkinson,Arsenal,25,RB,5.0,England
Per Mertesacker,Arsenal,32,CB,6.0,Germany
Sead Kolasinac,Arsenal,24,LB,15.0,Bosnia
Alexandre Lacazette,Arsenal,26,CF,40.0,France
Joshua King,Bournemouth,25,SS,8.0,Norway
Jermain Defoe,Bournemouth,34,CF,5.0,England
Charlie Daniels,Bournemouth,30,LB,3.0,England
Artur Boruc,Bournemouth,37,GK,1.0,Poland
Steve Cook,Bournemouth,26,CB,5.0,England
Junior Stanislas,Bournemouth,27,LW,4.5,England
Adam Smith,Bournemouth,26,RB,5.0,England
Ryan Fraser,Bournemouth,23,LW,5.0,Scotland
Simon Francis,Bournemouth,32,RB,2.5,England
Benik Afobe,Bournemouth,24,CF,10.0,Congo DR
Harry Arter,Bournemouth,27,CM,2.5,Ireland
Marc Pugh,Bournemouth,30,LW,2.0,England
Callum Wilson,Bournemouth,25,CF,10.0,England
Nathan Ake,Bournemouth,22,CB,8.0,Netherlands
Dan Gosling,Bournemouth,27,CM,3.0,England
Andrew Surman,Bournemouth,30,CM,2.0,England
Jordon Ibe,Bournemouth,21,RW,8.0,England
Lewis Cook,Bournemouth,20,CM,6.0,England
